Autor;geboren;gestorben;preise
Paul Auster;1947-02-03;;Prinz-von-Asturien-Preis,Ordre des Arts et des Lettres
Heinrich Böll;1917-12-21;1985-07-16;Georg-Büchner-Preis,Literaturnobelpreis
Albert Camus;1913-11-07;1960-01-04;Nobelpreis für Literatur
Friedrich Dürrenmatt;1921-01-05;1990-12-14;Grosser Schillerpreis, Georg-Büchner-Preis
Enzensberger;Hans Magnus;1929-11-11;;Georg-Büchner-Preis,Heinrich-Böll-Preis
Max Frisch;1911-05-15;1991-04-04;Heinrich-Heine-Preis,Georg-Büchner-Preis,Grosser Schillerpreis
Goethe;Johann Wolfgang;1749-08-28;1832-03-22; 
Ernest Hemingway;1899-07-21;1961-07-02;Literaturnobelpreis,Pulitzer-Preis
Philip Roth;1933-03-19;2018-05-22;Pulitzer-Preis,Franz-Kafka-Literaturpreis
